s0,s1,s2,transform,action,overall
CC,RR,R,0.0108846,0.222891,0.309822
CC,RR,R,0.0108808,0.22402,0.298045
CC,RR,R,0.0078345,0.223687,0.298683
CC,CR,CC,0.0152143,0.247283,0.332446
CC,CR,CC,0.015079,0.247226,0.325143
CC,CR,CC,0.0149907,0.247221,0.326061
CC,CR,CC,0.0149649,0.247219,0.327532
CC,CR,CC,0.0149946,0.247205,0.340619
CC,CR,CC,0.0152656,0.247254,0.328095
CC,CR,CC,0.0151077,0.247352,0.324555
CC,CR,CC,0.0150175,0.247307,0.326261
CC,CR,CC,0.0150162,0.247345,0.326919
CC,CR,CC,0.0150077,0.24727,0.331231
CC,CR,CC,0.0149832,0.247233,0.328561
CC,CR,CC,0.0149444,0.247114,0.363038
CC,CR,CC,0.0149235,0.246944,0.325286
CC,CR,CC,0.0150056,0.246981,0.327002
CC,CR,CC,0.0150751,0.246978,0.329399
CC,CR,CC,0.0148769,0.246991,0.327374
CC,CR,CC,0.0111668,0.246993,0.327444
CC,CR,CC,0.0149758,0.246966,0.327064
CC,CR,CC,0.0150856,0.247024,0.357227
CC,CR,CC,0.0112067,0.247694,0.33125
CC,CR,RR,0.0167018,0.246752,0.331042
CC,CR,RR,0.0164767,0.246925,0.332477
CC,CR,RR,0.0164966,0.246672,0.328987
CC,CR,RR,0.0165541,0.246679,0.332507
CC,CR,RR,0.0154087,0.246695,0.351708
CC,CR,RR,0.0165013,0.246677,0.33004
CC,CR,RR,0.016769,0.247505,0.330339
CC,CR,RR,0.0127069,0.246716,0.330635
CC,CR,RR,0.0164856,0.246651,0.325411
CC,CR,RR,0.0165572,0.246685,0.328859
CC,CR,RR,0.0166207,0.246703,0.326204
CC,CR,RR,0.0165178,0.246646,0.349787
CC,CR,RR,0.0165354,0.24764,0.330112
CC,CR,RR,0.016481,0.246734,0.332311
CC,CR,RR,0.0165002,0.24669,0.332601
CC,CR,RR,0.0165007,0.246619,0.333386
CC,CR,RR,0.0166858,0.246539,0.325865
CC,CR,RR,0.0166916,0.246526,0.330649
CC,CR,RR,0.0167566,0.246519,0.344666
CC,CR,RR,0.016541,0.246547,0.329275
CC,CR,CR,0.0154579,0.246801,0.330593
CC,CR,CR,0.0153961,0.246785,0.321863
CC,CR,CR,0.0154052,0.246758,0.328728
CC,CR,CR,0.0151858,0.246731,0.330043
CC,CR,CR,0.0154809,0.246781,0.331285
CC,CR,CR,0.015277,0.246754,0.340768
CC,CR,CR,0.0155649,0.246811,0.3294
CC,CR,CR,0.0154143,0.246755,0.3279
CC,CR,CR,0.0154532,0.246747,0.330943
CC,CR,CR,0.0118086,0.24674,0.327446
CC,CR,CR,0.0153841,0.246722,0.328264
CC,CR,CR,0.0154256,0.246703,0.329514
CC,CR,CR,0.0117075,0.246725,0.342339
CC,CR,CR,0.0154719,0.246819,0.329285
CC,CR,CR,0.0152931,0.246743,0.33165
CC,CR,CR,0.0153434,0.246724,0.332459
CC,CR,CR,0.0154099,0.246772,0.331142
CC,CR,CR,0.0153118,0.24674,0.325467
CC,CR,CR,0.0153038,0.246788,0.333207
CC,CR,CR,0.0159057,0.249775,0.352737
CC,CR,RC,0.0175298,0.267441,0.360265
CC,CR,RC,0.0173406,0.267372,0.355463
CC,CR,RC,0.0172957,0.267354,0.359861
CC,CR,RC,0.0171386,0.267448,0.35137
CC,CR,RC,0.0131794,0.267374,0.357422
CC,CR,RC,0.0172263,0.267379,0.377566
CC,CR,RC,0.0133075,0.267386,0.354291
CC,CR,RC,0.0174116,0.271298,0.35895
CC,CR,RC,0.0176003,0.272253,0.360563
CC,CR,RC,0.0176972,0.27233,0.359644
CC,CR,RC,0.0177382,0.271674,0.364237
CC,CR,RC,0.0176134,0.271599,0.38246
